,Spaceship,Captain,Fuel
0,Roboeagle,Kåre Cowboy,84
1,Slowowl,Susan Happy,83
2,Mcfreight,Niels Cute,77
3,Overpoweredfreight,Niels Calm,32
4,Overeagle,Charlotte Lucky,85
5,Overtransport,Susan Calm,15
6,Doublefalcon,Susan Cute,68
7,Skyfalcon,Katia Calm,56
8,Lightphantom,Niels Calm,74
9,Mcvessel,Niels Charming,56
10,Lighteagle,Pernille Rich,28
11,Skytransport,Susan Lucky,62
12,Mcvessel,Kåre Lucky,7
13,Overangel,Rick Cute,42
14,Cloakvessel,Mike Cowboy,8
15,Lazerangel,Kåre Lucky,100
16,Doublefreight,Niels Brain,45
17,Overship,Charlotte Happy,58
18,Cloudtransport,Katia Dangerous,97
19,Slowangel,Mike Rich,17
20,Lazerowl,Rick Cute,25
21,Lightfalcon,Pernille Lucky,81
22,Skyfreight,Katrine Lucky,47
23,Lightfalcon,Thomas Cute,54
24,Lazership,Katia Charming,22
25,Powerowl,Mike Rich,23
26,Lazercruiser,Susan Lucky,65
27,Overeagle,Charlotte Cute,2
28,Mcship,Thomas Calm,49
29,Overcarrier,Charlotte Happy,32
30,Quickeagle,Kåre Lazer,33
31,Slowfreight,Katia Dangerous,4
32,Powereagle,Charlotte Charming,59
33,Doubletransport,Charlotte Dangerous,35
34,Cloudvessel,Thomas Dangerous,13
35,Quickowl,Katrine Rich,99
36,Doublefalcon,Rick Brain,75
37,Lazereagle,Niels Dangerous,70
38,Overpoweredowl,Rick Charming,81
39,Cloudvessel,Charlotte Lucky,16
40,Doubleship,Thomas Cowboy,69
41,Overpoweredangel,Katia Cute,78
42,Skyeagle,Susan Calm,27
43,Slowtransport,Susan Cowboy,84
44,Quickfalcon,Pernille Rich,71
45,Slowvessel,Rick Lucky,16
46,Cloakfreight,Mike Cowboy,20
47,Overpoweredowl,Thomas Cute,52
48,Flashangel,Thomas Charming,15
49,Slowfalcon,Katrine Charming,90
50,Doubletransport,Pernille Rich,2
51,Powertransport,Charlotte Cowboy,28
52,Superowl,Mike Lucky,87
53,Overpoweredfreight,Thomas Cute,59
54,Skyeagle,Charlotte Lazer,63
55,Slowfalcon,Kåre Rich,48
56,Cloakfreight,Rick Lazer,31
57,Slowfalcon,Charlotte Lucky,9
58,Supercruiser,Pernille Charming,72
59,Robocruiser,Susan Dangerous,58
60,Supercruiser,Charlotte Cute,74
61,Cloakphantom,Mike Cowboy,91
62,Slowtransport,Charlotte Lazer,82
63,Doublefreight,Mike Cute,99
64,Lazerowl,Katrine Cute,11
65,Lightvessel,Thomas Brain,4
66,Mcowl,Rick Happy,72
67,Cloudphantom,Mike Dangerous,59
68,Skycarrier,Niels Cowboy,34
69,Overcruiser,Katrine Rich,79
70,Cloakfreight,Thomas Brain,91
71,Cloakvessel,Charlotte Calm,22
72,Lazership,Susan Lazer,72
73,Cloudcarrier,Charlotte Dangerous,82
74,Cloakfalcon,Kåre Cute,95
75,Skyship,Mike Charming,87
76,Cloudfreight,Thomas Cowboy,85
77,Quickbird,Thomas Brain,53
78,Lightvessel,Charlotte Brain,60
79,Overcarrier,Mike Charming,52
80,Doublefreight,Mike Brain,73
81,Mcfalcon,Pernille Calm,56
82,Doublefalcon,Kåre Charming,4
83,Cloudtransport,Kåre Happy,89
84,Supertransport,Rick Lucky,57
85,Roboeagle,Rick Rich,63
86,Skycruiser,Kåre Happy,76
87,Lightcruiser,Charlotte Dangerous,89
88,Roboeagle,Rick Happy,57
89,Mcowl,Susan Lucky,12
90,Roboowl,Pernille Brain,35
91,Lazerbird,Rick Calm,39
92,Lightfalcon,Niels Calm,61
93,Mcship,Susan Dangerous,19
94,Cloakcarrier,Kåre Dangerous,73
95,Lazerphantom,Katia Dangerous,67
96,Lightowl,Niels Cute,72
97,Robobird,Charlotte Charming,49
98,Overfreight,Katrine Charming,65
99,Quickfreight,Pernille Charming,84
